a,n,num_liquidations,total_commission,short_profits,long_profits,profit
0.001,2,5533,1335,11900.26137,2210.655465,12775.91684
0.001,2.1,5293,1340.892,11825.386,2328.862225,12813.35622
0.001,2.2,5112,1356.696,12078.94288,2261.389786,12983.63667
0.001,2.3,4890,1356.678,12081.89537,2262.236502,12987.45388
0.001,2.4,4691,1358.352,12151.60049,2210.236628,13003.48512
0.001,2.5,4543,1370.1,12178.36224,2296.997551,13105.25979
0.001,2.6,4444,1393.86,12471.73532,2272.023595,13349.89891
0.001,2.7,4302,1401.3,12456.27129,2356.073186,13411.04448
0.001,2.8,4112,1389.024,12345.38847,2331.161249,13287.52571
0.001,2.9,4057,1419.318,12637.82768,2365.625654,13584.13533
0.001,3,3868,1399.68,12549.60548,2265.968913,13415.8944
0.001,3.1,3755,1404.3,12559.35163,2289.055777,13444.1074
0.001,3.2,3616,1396.032,12357.09651,2388.727833,13349.79235
0.001,3.3,3522,1402.236,12530.2911,2300.519072,13428.57417
0.001,3.4,3484,1429.02,12757.46944,2362.054688,13690.50413
0.001,3.5,3411,1440.18,12850.13639,2383.568194,13793.52458
0.001,3.6,3250,1411.56,12643.75273,2304.811067,13537.0038
0.001,3.7,3199,1428.126,12729.80904,2379.851804,13681.53484
0.001,3.8,3162,1449.396,12923.12,2414.734375,13888.45837
0.001,3.9,3023,1422.252,12616.91873,2416.068273,13610.735
0.001,4,2954,1425.6,12681.06505,2377.64044,13633.10549
0.001,4.1,2889,1429.014,12886.97428,2246.378644,13704.33893
0.001,4.2,2885,1461.852,13177.526,2303.567346,14019.24135
0.001,4.3,2864,1485.306,13308.82831,2412.204816,14235.72713
0.001,4.4,2763,1466.52,13174.76268,2359.838296,14068.08097
0.001,4.5,2696,1463.4,13198.22078,2312.394615,14047.21539
0.001,4.6,2653,1471.908,13379.30692,2241.68465,14149.08357
0.001,4.7,2594,1470.63,13374.85155,2237.935104,14142.15666
0.001,4.8,2600,1505.088,13768.72705,2209.949327,14473.58838
0.001,4.9,2559,1512.336,13608.934,2403.983797,14500.5818
0.001,5,2540,1531.8,13773.48252,2458.476734,14700.15926
0.001,5.1,2476,1522.962,13705.88652,2429.079969,14612.00449
0.001,5.2,2358,1479.192,13303.37584,2354.44347,14178.62731
0.001,5.3,2383,1523.22,13553.41372,2564.001008,14594.19472
0.001,5.4,2357,1535.112,13796.04168,2467.270125,14728.1998
0.001,5.5,2284,1515.03,13626.31647,2433.987952,14545.27443
0.001,5.6,2184,1475.376,13388.32936,2241.530785,14154.48415
0.001,5.7,2094,1440.162,12845.75886,2376.638309,13782.23516
0.001,5.8,2052,1435.848,12669.45803,2473.72952,13707.33955
0.001,5.9,2096,1491.756,13330.72874,2454.977667,14293.9504
0.001,6,2062,1492.2,13483.77527,2328.80313,14320.3784
0.001,6.1,1998,1470.222,13252.90692,2323.589892,14106.27481
0.001,6.2,1967,1471.26,13215.77876,2361.145817,14105.66458
0.001,6.3,1918,1457.568,13016.23101,2397.591382,13956.25439
0.001,6.4,1953,1507.584,13640.62216,2314.565506,14447.60367
0.001,6.5,1905,1493.31,13508.82304,2284.792348,14300.30538
0.001,6.6,1853,1475.1,13285.945,2304.499797,14115.3448
0.001,6.7,1844,1490.214,13330.50164,2406.819962,14247.10761
0.001,6.8,1761,1444.728,13114.19491,2171.234961,13840.70187
0.001,6.9,1866,1552.914,14226.25413,2263.544615,14936.88475
0.001,7,1870,1578.36,14288.48688,2429.868148,15139.99503
0.001,7.1,1792,1534.452,14038.59782,2253.481635,14757.62745
0.001,7.2,1770,1537.056,13721.89534,2546.834292,14731.67364
0.001,7.3,1708,1504.092,13439.81582,2466.22123,14401.94505
0.001,7.4,1703,1520.256,13647.66302,2458.591911,14585.99893
0.001,7.5,1713,1549.35,13866.55755,2543.977534,14861.18508
0.001,7.6,1701,1559.064,13900.08003,2586.976687,14927.99272
0.001,7.7,1672,1552.782,13845.99103,2579.903171,14873.1122
0.001,7.8,1620,1524.276,13543.96021,2567.412714,14587.09692
0.001,7.9,1603,1527.228,13621.12948,2533.277468,14627.17894
0.001,8,1595,1538.88,13753.95404,2514.839881,14729.91392
0.001,8.1,1577,1540.62,14029.55633,2308.095809,14797.03214
0.001,8.2,1592,1574.4,14208.32021,2481.944353,15115.86456
0.001,8.3,1534,1535.832,13868.98449,2417.748697,14750.90119
0.001,8.4,1493,1512.504,13638.60032,2400.041112,14526.13743
0.001,8.5,1416,1451.97,12832.68868,2486.142774,13866.86146
0.001,8.6,1405,1457.7,13076.94628,2341.360487,13960.60677
0.001,8.7,1434,1504.926,13546.58221,2369.588935,14411.24514
0.001,8.8,1464,1553.904,13966.36714,2475.490641,14887.95378
0.001,8.9,1478,1586.514,14322.15367,2493.376713,15229.01639
0.001,9,1394,1513.08,13532.79532,2512.209515,14531.92484
0.001,9.1,1418,1556.1,13999.08159,2488.780321,14931.76191
0.001,9.2,1451,1609.632,14495.03723,2566.183742,15451.58897
0.001,9.3,1460,1637.172,14906.17234,2478.415871,15747.41621
0.001,9.4,1452,1645.752,14961.0644,2515.34336,15830.65576
0.001,9.5,1419,1625.64,14748.09573,2486.298908,15608.75463
0.001,9.6,1370,1585.728,14251.22631,2533.317927,15198.81624
0.001,9.7,1263,1477.698,13255.4944,2376.411095,14154.20749
0.001,9.8,1285,1518.804,13660.76726,2424.635495,14566.59876
0.001,9.9,1243,1484.406,13408.58887,2315.402894,14239.58576
0.001,10,1246,1503,13618.12011,2305.762698,14420.8828
0.001,10.1,1207,1470.762,13260.85711,2273.050361,14063.14547
0.001,10.2,1214,1493.892,13594.57848,2250.039065,14350.72554
0.001,10.3,1220,1515.954,13834.65979,2248.991144,14567.69694
0.001,10.4,1273,1596.192,14940.81099,2086.048644,15430.66763
0.001,10.5,1174,1486.8,13713.35769,2047.994482,14274.55217
0.001,10.6,1162,1485.696,13759.71135,1998.446614,14272.46196
0.001,10.7,1216,1569.048,14605.10678,2101.286747,15137.34553
0.001,10.8,1230,1601.856,14770.19432,2279.9914,15448.32972
0.001,10.9,1195,1570.908,14617.12341,2131.84946,15178.06487
0.001,11,1087,1442.76,12974.98959,2271.056369,13803.28596
0.001,11.1,1139,1525.14,13993.54885,2192.824432,14661.23328
0.001,11.2,1192,1610.112,14952.45778,2195.806244,15538.15202
0.001,11.3,1125,1533.636,14063.76196,2253.674933,14783.80089
0.001,11.4,1099,1511.64,13827.13991,2247.358714,14562.85862
0.001,11.5,1131,1568.37,14262.75321,2380.860748,15075.24396
0.001,11.6,1156,1616.808,14758.94913,2406.024265,15548.16539
0.001,11.7,1088,1535.274,13821.43435,2400.613193,14686.77354
0.001,11.8,1094,1556.892,13862.22264,2565.840902,14871.17154
0.001,11.9,1089,1562.946,13584.14165,2852.746605,14873.94226
0.001,12,1004,1453.68,12521.52143,2729.47536,13797.31679
0.001,12.1,1019,1487.574,12769.99396,2832.008272,14114.42824
0.001,12.2,1039,1529.148,13207.22556,2840.498068,14518.57563
0.001,12.3,1021,1515.114,13299.37581,2643.519864,14427.78167
0.001,12.4,998,1493.208,13209.45616,2527.992276,14244.24044
0.001,12.5,1033,1557.75,13788.63068,2632.407453,14863.28813
0.001,12.6,1079,1639.008,14600.7244,2710.535679,15672.25208
0.001,12.7,1097,1679.448,14982.00794,2761.207769,16063.76771
0.001,12.8,1135,1751.04,15755.34458,2782.808503,16787.11308
0.001,12.9,1148,1784.844,15814.76743,3063.872239,17093.79567
0.001,13,1083,1697.28,15099.25646,2885.157525,16287.13399
0.001,13.1,1042,1645.884,14551.97558,2878.499286,15784.59086
0.001,13.2,1073,1707.552,15177.59622,2915.95464,16385.99886
0.001,13.3,1044,1674.204,14820.66136,2923.487564,16069.94492
0.001,13.4,955,1543.68,13293.75578,2917.038434,14667.11422
0.001,13.5,944,1537.38,13038.47716,3085.62379,14586.72095
0.001,13.6,942,1545.504,13613.13595,2680.21042,14747.84237
0.001,13.7,931,1538.784,13725.39214,2546.282068,14732.89021
0.001,13.8,897,1493.712,13219.29058,2563.378912,14288.95749
0.001,13.9,876,1468.674,12963.93295,2563.965928,14059.22487
0.001,14,860,1452.36,12879.64671,2487.206536,13914.49325
0.001,14.1,853,1450.89,12755.18064,2584.591684,13888.88233
0.001,14.2,838,1435.62,12670.08765,2523.646927,13758.11458
0.001,14.3,824,1421.706,12395.7598,2654.338473,13628.39227
0.001,14.4,838,1455.84,13028.08217,2448.594218,14020.83639
0.001,14.5,864,1511.19,13570.14738,2513.551513,14572.50889
0.001,14.6,818,1441.02,12988.69208,2320.345291,13868.01737
0.001,14.7,861,1526.742,13872.03644,2351.437284,14696.73172
0.001,14.8,900,1606.392,14450.85075,2565.415869,15409.87462
0.001,14.9,882,1585.062,14350.61961,2466.166504,15231.72411
0.001,15,887,1604.7,14796.95864,2252.214471,15444.47311
0.001,15.1,842,1533.858,14139.58619,2149.034717,14754.76291
0.001,15.2,814,1492.944,13710.11168,2113.573449,14330.74113
0.001,15.3,817,1508.274,13935.09848,2109.304426,14536.12891
0.001,15.4,828,1538.46,14200.26981,2158.391705,14820.20152
0.001,15.5,826,1543.8,14466.82506,1982.875696,14905.90076
0.001,15.6,837,1574.352,14731.88299,2047.925171,15205.45616
0.001,15.7,849,1607.052,15022.51869,2078.551555,15494.01824
0.001,15.8,841,1602.12,15049.84743,2020.829223,15468.55666
0.001,15.9,834,1598.904,14808.91324,2188.505659,15398.5149
0.001,16,837,1614.72,15204.03019,2024.299524,15613.60972
0.001,16.1,883,1713.684,16257.87925,2053.526742,16597.722
0.001,16.2,852,1664.064,15660.34819,2085.885442,16082.16963
0.001,16.3,847,1664.556,15663.98199,2116.97971,16116.4057
0.001,16.4,828,1637.376,15484.11944,2037.8007,15884.54414
0.001,16.5,777,1546.38,14504.75549,1995.426097,14953.80159
0.001,16.6,740,1482.048,13425.56656,2283.17728,14226.69584
0.001,16.7,701,1412.82,12592.43657,2313.815802,13493.43237
0.001,16.8,685,1389.024,12541.03351,2178.615018,13330.62453
0.001,16.9,693,1413.516,12760.24878,2211.24358,13557.97636
0.001,17,667,1368.84,12413.63911,2091.71919,13136.5183
0.001,17.1,665,1372.788,12600.8669,1990.890663,13218.96956
0.001,17.2,644,1337.472,12292.95652,1888.324272,12843.8088
0.001,17.3,664,1386.768,12701.37178,2013.899061,13328.50285
0.001,17.4,671,1409.4,12994.7395,1965.064301,13550.4038
0.001,17.5,690,1457.4,13247.58906,2190.754198,13980.94326
0.001,17.6,702,1491.072,13722.08345,2122.332148,14353.34359
0.001,17.7,682,1457.064,13351.44517,2114.327277,14008.70844
0.001,17.8,668,1434.324,13157.16312,2066.322956,13789.16208
0.001,17.9,705,1521.858,14263.71146,1936.964277,14678.81773
0.001,18,727,1577.88,14766.44393,2024.731698,15213.29563
0.001,18.1,786,1714.794,16227.63972,2074.637106,16587.48282
0.001,18.2,807,1770.132,16851.2585,2065.359285,17146.48579
0.001,18.3,774,1707.39,16319.84294,1936.349534,16548.80247
0.001,18.4,753,1670.352,15820.70005,1990.21971,16140.56776
0.001,18.5,725,1617.27,15219.19974,2002.767446,15604.69719
0.001,18.6,710,1592.532,15143.41407,1831.305691,15382.18776
0.001,18.7,683,1540.506,14707.8885,1736.456752,14903.83925
0.001,18.8,685,1553.256,14941.70866,1684.033683,15072.48635
0.001,18.9,703,1602.342,15077.95688,2026.439402,15502.05428
0.001,19,648,1485.42,13922.10499,1929.655394,14366.34039
0.001,19.1,642,1479.486,13854.14626,1920.430333,14295.09059
0.001,19.2,655,1517.184,14376.53206,1824.209455,14683.55752
0.001,19.3,677,1576.038,15182.09286,1684.777082,15290.83194
0.001,19.4,638,1493.412,14435.37279,1564.035659,14505.99645
0.001,19.5,567,1334.97,12622.26353,1551.307782,12838.60131
0.001,19.6,556,1315.944,12349.22853,1603.857419,12637.14195
0.001,19.7,583,1386.486,12890.34078,1831.735154,13335.58993
0.001,19.8,627,1498.068,14121.90288,1840.447426,14464.2823
0.001,19.9,616,1479.366,13916.66495,1849.729168,14287.02812
0.002,2,2753,667.8,11747.6645,2275.653305,13355.5178
0.002,2.1,2628,669.564,11781.64089,2277.992728,13390.06962
0.002,2.2,2573,686.532,12055.03503,2370.191467,13738.69449
0.002,2.3,2490,694.692,12278.45893,2323.637853,13907.40478
0.002,2.4,2382,693.36,12091.3679,2456.973192,13854.9811
0.002,2.5,2307,699.45,12245.85571,2435.756393,13982.16211
0.002,2.6,2205,695.292,12195.18558,2404.24045,13904.13403
0.002,2.7,2134,698.868,12335.8699,2351.9982,13989.0001
0.002,2.8,2027,688.464,12279.48949,2212.72691,13803.7524
0.002,2.9,2035,715.488,12801.87478,2260.379973,14346.76676
0.002,3,1969,716.22,12707.37492,2365.907997,14357.06292
0.002,3.1,1893,711.636,12563.94326,2389.435362,14241.74262
0.002,3.2,1853,719.04,12756.39503,2371.60275,14408.95778
0.002,3.3,1822,729.036,12929.48559,2417.998368,14618.44796
0.002,3.4,1767,728.484,12968.18516,2369.35244,14609.0536
0.002,3.5,1712,726.6,12931.45077,2367.284575,14572.13534
0.002,3.6,1677,732.024,13093.58514,2339.029268,14700.59041
0.002,3.7,1604,719.502,12823.74589,2337.510922,14441.75481
0.002,3.8,1541,710.22,12634.37388,2314.756981,14238.91086
0.002,3.9,1509,713.934,12720.36364,2305.055798,14311.48544
0.002,4,1510,732.48,13094.99224,2347.478366,14709.99061
0.002,4.1,1479,735.294,13276.41054,2239.496057,14780.61259
0.002,4.2,1456,741.384,13412.88942,2238.837709,14910.34313
0.002,4.3,1394,726.786,12975.93585,2322.294636,14571.44449
0.002,4.4,1402,747.912,13438.41276,2335.579228,15026.07999
0.002,4.5,1402,764.64,13677.26315,2426.036087,15338.65924
0.002,4.6,1326,739.68,13347.1008,2257.297697,14864.7185
0.002,4.7,1318,750.966,13556.21851,2295.499837,15100.75234
0.002,4.8,1301,757.152,13786.4133,2205.655532,15234.91684
0.002,4.9,1274,756.756,13668.14447,2293.088168,15204.47664
0.002,5,1270,769.5,13812.92025,2428.630156,15472.05041
0.002,5.1,1196,739.602,13182.55621,2375.09386,14818.04807
0.002,5.2,1198,755.352,13543.71201,2375.849111,15164.20912
0.002,5.3,1209,776.874,13945.59606,2407.312086,15576.03415
0.002,5.4,1160,759.456,13512.84807,2466.577494,15219.96956
0.002,5.5,1169,779.13,14105.99191,2343.649101,15670.51101
0.002,5.6,1128,765.744,13691.16252,2448.692609,15374.11113
0.002,5.7,1089,752.742,13426.29329,2429.122303,15102.67359
0.002,5.8,1076,756.552,13523.45913,2430.458723,15197.36585
0.002,5.9,1087,777.384,13755.47261,2604.679426,15582.76804
0.002,6,1058,769.68,13587.26402,2606.367369,15423.95139
0.002,6.1,1065,787.266,14052.73161,2569.228977,15834.69459
0.002,6.2,978,735.444,13398.36638,2126.95253,14789.87491
0.002,6.3,964,736.722,13272.46246,2260.206783,14795.94724
0.002,6.4,970,752.64,13507.76245,2350.76755,15105.89
0.002,6.5,1019,802.62,14392.1936,2559.761564,16149.33517
0.002,6.6,968,774.18,13864.50399,2452.14968,15542.47367
0.002,6.7,948,769.83,13779.58545,2429.403988,15439.15944
0.002,6.8,884,729.096,12854.25134,2464.94089,14590.09623
0.002,6.9,906,758.034,13513.06001,2454.365868,15209.39188
0.002,7,898,762.3,13630.02649,2443.754885,15311.48137
0.002,7.1,902,776.172,14198.84107,2210.643425,15633.31249
0.002,7.2,845,737.856,13291.30492,2242.308756,14795.75767
0.002,7.3,848,750.732,13399.11139,2403.687347,15052.06673
0.002,7.4,881,790.32,14205.73648,2451.580718,15866.9972
0.002,7.5,846,769.5,13985.58289,2250.883349,15466.96624
0.002,7.6,864,795.72,14337.82951,2414.193259,15956.30277
0.002,7.7,859,801.57,14300.24911,2567.414304,16066.09341
0.002,7.8,847,800.748,14239.05325,2600.67841,16038.98366
0.002,7.9,820,785.418,14024.15664,2512.962408,15751.70104
0.002,8,811,786.72,14074.2132,2511.663042,15799.15624
0.002,8.1,819,803.844,14323.77159,2616.733673,16136.66127
0.002,8.2,809,803.928,14284.68518,2626.806613,16107.56379
0.002,8.3,803,807.756,14430.75758,2602.407414,16225.40899
0.002,8.4,778,792.288,14200.72736,2500.672098,15909.11145
0.002,8.5,744,766.53,13752.72305,2419.399185,15405.59223
0.002,8.6,722,752.844,13324.83442,2484.380721,15056.37115
0.002,8.7,758,799.182,14506.14564,2377.349297,16084.31294
0.002,8.8,772,823.152,15094.52183,2324.195092,16595.56493
0.002,8.9,728,785.514,14228.95456,2348.745865,15792.18642
0.002,9,716,780.84,14359.98099,2176.897153,15756.03814
0.002,9.1,687,757.848,14084.82305,1960.741514,15287.71656
0.002,9.2,698,778.32,14301.70545,2147.303083,15670.68853
0.002,9.3,708,797.94,14700.91223,2170.27079,16073.24302
0.002,9.4,732,833.592,14873.25013,2694.788899,16734.44702
0.002,9.5,718,826.5,14755.91682,2637.465617,16566.88244
0.002,9.6,689,801.792,14142.62869,2684.217489,16025.05418
0.002,9.7,658,774.06,13474.1801,2732.037467,15432.15756
0.002,9.8,661,784.98,13627.18126,2827.530374,15669.73164
0.002,9.9,662,794.178,14001.22212,2680.698042,15887.74216
0.002,10,645,781.8,13789.9694,2597.808701,15605.9781
0.002,10.1,655,801.738,14452.38796,2419.053824,16069.70378
0.002,10.2,620,766.836,13714.38432,2397.072212,15344.62053
0.002,10.3,638,796.602,14538.47167,2285.120087,16026.98975
0.002,10.4,665,838.032,15451.47667,2285.398238,16898.84291
0.002,10.5,625,795.06,14691.42224,2143.95028,16040.31252
0.002,10.6,629,807.72,14818.8776,2258.666229,16269.82383
0.002,10.7,605,784.524,14156.20789,2376.890824,15748.57472
0.002,10.8,613,802.224,14410.86654,2545.840925,16154.48346
0.002,10.9,610,805.728,14641.19614,2400.568264,16236.03641
0.002,11,583,777.48,14129.3976,2275.356712,15627.27431
0.002,11.1,573,771.228,14051.5142,2245.313222,15525.59942
0.002,11.2,571,775.488,13916.3042,2436.56805,15577.38425
0.002,11.3,566,775.632,13826.64675,2509.837021,15560.85177
0.002,11.4,574,792.756,14012.36022,2679.712964,15899.31719
0.002,11.5,590,821.79,14976.59961,2422.747903,16577.55752
0.002,11.6,578,812.232,14974.98102,2237.205479,16399.9545
0.002,11.7,547,775.71,14265.20171,2150.493346,15639.98505
0.002,11.8,528,755.436,13690.38799,2222.007241,15156.95923
0.002,11.9,538,776.118,13768.47709,2533.333293,15525.69238
0.002,12,543,789.84,13993.70979,2606.868244,15810.73803
0.002,12.1,527,773.19,13524.14848,2680.985641,15431.94412
0.002,12.2,532,786.9,13666.04813,2819.027041,15698.17517
0.002,12.3,534,796.302,13801.14625,2869.659135,15874.50339
0.002,12.4,550,826.584,14559.37333,2780.98571,16513.77504
0.002,12.5,538,815.25,14355.03564,2748.327635,16288.11328
0.002,12.6,554,845.964,14965.38063,2824.071904,16943.48853
0.002,12.7,566,870.204,15184.59473,3101.453529,17415.84425
0.002,12.8,565,875.52,15120.21314,3241.108087,17485.80123
0.002,12.9,565,882.36,15385.35195,3182.099631,17685.09158
0.002,13,547,861.12,14888.68094,3179.086316,17206.64725
0.002,13.1,544,863.028,15096.26763,3057.199797,17290.43943
0.002,13.2,504,806.256,14102.21818,2846.676357,16142.63854
0.002,13.3,510,821.94,14381.28418,2896.526279,16455.87046
0.002,13.4,491,797.568,13898.43217,2859.584254,15960.44842
0.002,13.5,484,792.18,13836.65721,2850.877889,15895.3551
0.002,13.6,466,768.672,13361.39972,2780.431063,15373.15879
0.002,13.7,472,784.188,13383.51374,3040.309885,15639.63563
0.002,13.8,468,783.288,13504.20809,2907.255935,15628.17603
0.002,13.9,465,783.96,13533.88338,2893.26066,15643.18404
0.002,14,448,761.04,13055.55974,2881.030016,15175.54976
0.002,14.1,460,785.934,13514.7423,2996.664385,15725.47269
0.002,14.2,465,800.028,13850.7882,2987.029206,16037.78941
0.002,14.3,460,797.082,13767.49774,3036.591867,16007.00761
0.002,14.4,431,752.544,13184.0179,2705.814303,15137.2882
0.002,14.5,434,762.99,13566.29988,2594.528931,15397.83881
0.002,14.6,429,759.492,13283.51992,2744.586248,15268.61416
0.002,14.7,422,752.346,13246.01863,2630.324495,15123.99713
0.002,14.8,435,780.552,13888.37301,2582.079332,15689.90035
0.002,14.9,428,773.31,13614.84719,2663.64753,15505.18472
0.002,15,423,769.5,13745.71202,2480.909713,15457.12173
0.002,15.1,421,771.006,13760.68918,2464.927767,15454.61095
0.002,15.2,405,746.928,13268.54061,2449.528309,14971.14092
0.002,15.3,420,779.382,14179.15334,2328.881667,15728.65301
0.002,15.4,429,801.108,14688.74975,2309.042264,16196.68401
0.002,15.5,402,756.09,13721.79955,2220.334672,15186.04422
0.002,15.6,408,772.2,13979.08481,2304.624331,15511.50914
0.002,15.7,404,769.614,14180.88151,2076.235034,15487.50255
0.002,15.8,436,835.188,15638.83956,2088.771202,16892.42276
0.002,15.9,420,808.992,14933.23167,2169.592836,16293.8325
0.002,16,429,831.36,15530.90738,2074.896316,16774.44369
0.002,16.1,443,863.604,16460.93656,1943.669772,17541.00233
0.002,16.2,436,855.36,16429.48174,1811.861774,17385.98351
0.002,16.3,457,901.716,17428.63528,1823.431605,18350.35089
0.002,16.4,447,887.568,17125.27145,1834.748344,18072.45179
0.002,16.5,406,811.8,15252.59963,1992.066763,16432.86639
0.002,16.6,361,727.08,13438.94432,1929.533683,14641.398
0.002,16.7,368,745.488,13619.09697,2092.195357,14965.80432
0.002,16.8,379,772.128,13951.97076,2292.450039,15472.2928
0.002,16.9,378,774.696,13967.16656,2343.874692,15536.34525
0.002,17,349,720.12,12774.73521,2319.252702,14373.86792
0.002,17.1,341,707.94,12626.59076,2256.912372,14175.56313
0.002,17.2,336,701.76,12528.63567,2233.433067,14060.30873
0.002,17.3,355,745.284,13574.75866,2167.863345,14997.33801
0.002,17.4,347,732.888,13382.45,2102.018145,14751.58015
0.002,17.5,346,735,13418.9559,2113.737318,14797.69321
0.002,17.6,342,730.752,13688.27573,1812.377055,14769.90079
0.002,17.7,342,734.904,13532.28705,2014.973275,14812.35633
0.002,17.8,333,719.832,13080.8631,2105.311535,14466.34264
0.002,17.9,346,750.726,13727.61613,2118.119694,15095.00982
0.002,18,353,770.04,13966.38016,2288.671182,15485.01134
0.002,18.1,356,780.834,14200.12296,2299.74273,15719.03169
0.002,18.2,361,796.068,14570.38219,2272.284934,16046.59912
0.002,18.3,376,833.382,15394.67244,2283.210842,16844.50128
0.002,18.4,389,866.64,16122.18436,2296.111338,17551.65569
0.002,18.5,391,875.79,16414.95435,2187.177669,17726.34202
0.002,18.6,382,860.436,16347.56475,1951.486535,17438.61529
0.002,18.7,363,822.426,15677.5095,1836.608739,16691.69224
0.002,18.8,352,802.008,15198.84406,1847.601971,16244.43803
0.002,18.9,353,808.542,15482.61845,1730.064993,16404.14144
0.002,19,336,774.06,14771.95019,1699.138292,15697.02848
0.002,19.1,350,810.222,15449.41896,1836.925684,16476.12265
0.002,19.2,343,798.336,15059.24121,1932.359419,16193.26463
0.002,19.3,317,742.278,13965.8905,1813.27669,15036.88919
0.002,19.4,316,743.796,14076.03023,1737.000541,15069.23477
0.002,19.5,314,742.95,14039.32743,1747.428555,15043.80599
0.002,19.6,273,650.328,12112.16265,1625.303354,13087.13801
0.002,19.7,269,644.19,11807.76631,1766.229102,12929.80541
0.002,19.8,271,652.212,12048.38081,1731.489595,13127.6584
0.002,19.9,279,674.61,12590.17282,1693.961419,13609.52424
0.003,2,1823,444.6,11600.1311,2316.869489,13472.40059
0.003,2.1,1749,447.93,11741.62254,2285.04718,13578.73972
0.003,2.2,1702,456.588,11985.69762,2320.221083,13849.3307
0.003,2.3,1638,459.264,12106.82783,2293.507588,13941.07142
0.003,2.4,1570,459.36,12089.68555,2313.063218,13943.38877
0.003,2.5,1524,464.4,12220.53546,2351.899991,14108.03545
0.003,2.6,1498,474.552,12412.7544,2462.430509,14400.63291
0.003,2.7,1435,472.23,12404.72236,2395.013607,14327.50596
0.003,2.8,1360,464.352,12322.93465,2247.852012,14106.43466
0.003,2.9,1346,475.716,12643.41877,2289.578955,14457.28172
0.003,3,1281,468.72,12366.52766,2327.384289,14225.19195
0.003,3.1,1249,471.882,12443.76712,2362.136025,14334.02114
0.003,3.2,1219,475.392,12663.24677,2267.754286,14455.60906
0.003,3.3,1173,472.032,12464.78548,2336.662689,14329.41617
0.003,3.4,1165,482.868,12954.57471,2227.089666,14698.79638
0.003,3.5,1130,482.16,12795.96848,2338.288834,14652.09732
0.003,3.6,1115,489.24,12986.68224,2381.572322,14879.01457
0.003,3.7,1072,483.516,12713.58919,2463.661142,14693.73433
0.003,3.8,1040,481.992,12685.78953,2437.668055,14641.46559
0.003,3.9,1013,481.806,12557.93987,2527.849938,14603.98381
0.003,4,989,482.4,12835.88911,2312.619703,14666.10881
0.003,4.1,967,483.39,12821.76906,2357.001452,14695.38051
0.003,4.2,964,493.668,13138.8742,2371.797777,15017.00397
0.003,4.3,942,493.812,13066.36311,2442.886865,15015.43797
0.003,4.4,956,512.424,13669.07091,2439.71719,15596.3641
0.003,4.5,927,508.41,13309.10881,2628.213201,15428.91201
0.003,4.6,897,502.872,13449.7892,2366.526812,15313.44401
0.003,4.7,888,508.728,13680.90627,2338.122419,15510.30069
0.003,4.8,845,494.496,13230.50158,2322.579308,15058.58489
0.003,4.9,836,499.212,13308.02472,2403.90989,15212.72261
0.003,5,841,512.4,13561.17121,2553.881773,15602.65298
0.003,5.1,839,521.118,13857.24416,2535.521877,15871.64804
0.003,5.2,816,516.984,13703.98519,2512.649336,15699.65053
0.003,5.3,789,509.436,13655.64513,2366.611878,15512.82101
0.003,5.4,760,500.256,13531.47818,2211.28542,15242.5076
0.003,5.5,763,511.5,13986.53844,2159.115837,15634.15428
0.003,5.6,734,500.976,13553.33642,2239.002095,15291.36252
0.003,5.7,696,483.93,12958.66786,2239.773289,14714.51115
0.003,5.8,729,515.388,13753.58024,2433.614968,15671.80721
